portfolio_id,desk_id,office_id_OFF00001001,office_id_OFF00001002,pf_category_A,pf_category_B,pf_category_C,pf_category_D,sold,country_code_M,country_code_N,country_code_T,country_code_U,country_code_Z,euribor_rate,currency_CHF,currency_EUR,currency_GBP,currency_JPY,currency_USD,libor_rate,bought,indicator_code,type_A,type_B,type_C,type_D,type_E,type_F,type_H,hedge_value,status,return,df1,df2
PF00001002,DSK00001001,0,1,0,1,0,0,1.10E+08,0,0,1,0,0,0.02074,0,0,0,0,1,2.332215909,109809663.3,0,0,1,0,0,0,0,0,1,0,0.02496,0,23
PF00001003,DSK00001002,1,0,1,0,0,0,176671000,0,1,0,0,0,0.02074,0,0,1,0,0,5.269616818,176008436.7,0,0,0,1,0,0,0,0,1,0,0.05496,14,20
PF00001005,DSK00001004,1,0,1,0,0,0,56474000,0,0,1,0,0,0.02074,0,0,0,0,1,2.332215909,56379532.96,0,1,0,0,0,0,0,0,1,0,0.02496,0,25
PF00001006,DSK00001005,1,0,1,0,0,0,164813000,0,0,1,0,0,0.02074,0,0,0,0,1,2.332215909,164508841.4,0,1,0,0,0,0,0,0,1,0,0.02496,44,-10
PF00001007,DSK00001005,0,1,0,1,0,0,140800000,0,0,1,0,0,0.02074,0,0,0,0,1,2.332215909,140540156.9,0,0,1,0,0,0,0,0,1,0,0.02496,44,-10
PF00001008,DSK00001006,1,0,1,0,0,0,48741000,0,0,1,0,0,0.02074,0,0,0,0,1,2.332215909,48651265.44,0,1,0,0,0,0,0,0,1,0,0.0249,19,15
PF00001010,DSK00001009,1,0,1,0,0,0,60593500,0,0,1,0,0,0.02074,0,0,0,0,1,2.332215909,60481810.26,0,1,0,0,0,0,0,0,1,0,0.02493,20,14
PF00001011,DSK00001009,0,1,0,1,0,0,134200000,0,0,1,0,0,0.02074,0,0,0,0,1,2.332215909,133952634.1,0,0,1,0,0,0,0,0,1,0,0.02493,20,14
PF00001012,DSK00001010,1,0,1,0,0,0,82929000,0,0,1,0,0,0.02074,0,0,0,0,1,2.332215909,82506155.95,0,1,0,0,0,0,0,0,1,0,0.0246,98,-6
PF00001016,DSK00001014,1,0,1,0,0,0,212476000,0,0,1,0,0,0.02074,0,0,0,0,1,2.332215909,211413997,0,1,0,0,0,0,0,0,1,0,0.02466,104,-14
PF00001018,DSK00001016,1,0,1,0,0,0,77099000,0,0,1,0,0,0.02075,0,0,0,0,1,2.181960455,76960823.26,0,1,0,0,0,0,0,0,1,0,0.02502,54,-19
PF00001019,DSK00001017,0,1,0,1,0,0,134200000,0,0,1,0,0,0.02075,0,0,0,0,1,2.181960455,133967789.2,0,0,1,0,0,0,0,0,1,0,0.02496,0,34
PF00001020,DSK00001017,1,0,1,0,0,0,54989000,0,0,1,0,0,0.02075,0,0,0,0,1,2.181960455,54893850.66,0,1,0,0,0,0,0,0,1,0,0.02496,0,34
PF00001022,DSK00001018,1,0,1,0,0,0,61567000,0,0,1,0,0,0.02075,0,0,0,0,1,2.181960455,61460979.81,0,1,0,0,0,0,0,0,1,0,0.02484,0,31
PF00001026,DSK00001022,1,0,1,0,0,0,80201000,0,0,1,0,0,0.02075,0,0,0,0,1,2.181960455,79779018.85,0,1,0,0,0,0,0,0,1,0,0.02511,91,2
PF00001027,DSK00001023,1,0,1,0,0,0,204941000,0,0,1,0,0,0.02075,0,0,0,0,1,2.181960455,203820722,0,1,0,0,0,0,0,0,1,0,0.02526,0,34
PF00001029,DSK00001024,0,1,0,1,0,0,8.80E+07,0,0,1,0,0,0.02075,0,0,0,0,1,2.181960455,87837792.88,0,0,1,0,0,0,0,0,1,0,0.02493,0,34
PF00001030,DSK00001025,1,0,1,0,0,0,120296000,0,0,1,0,0,0.02075,0,0,0,0,1,2.181960455,120073996.5,0,1,0,0,0,0,0,0,1,0,0.02496,0,34
PF00001031,DSK00001026,1,0,1,0,0,0,59037000,0,0,1,0,0,0.02075,0,0,0,0,1,2.181960455,58938127.2,0,1,0,0,0,0,0,0,1,0,0.02499,22,16
PF00001033,DSK00001028,0,1,0,1,0,0,44077000,0,0,1,0,0,0.02075,0,0,0,0,1,2.181960455,44000732.06,0,0,1,0,0,0,0,0,1,0,0.02496,0,34
PF00001034,DSK00001029,1,0,1,0,0,0,71885000,0,0,1,0,0,0.02075,0,0,0,0,1,2.181960455,71760913.42,0,1,0,0,0,0,0,0,1,0,0.0249,0,34
PF00001035,DSK00001030,1,0,1,0,0,0,44726000,0,0,1,0,0,0.02075,0,0,0,0,1,2.181960455,44640884.71,0,1,0,0,0,0,0,0,1,0,0.02496,0,35
PF00001037,DSK00001031,0,1,0,1,0,0,134200000,0,0,1,0,0,0.02076,0,0,0,0,1,2.367102273,133967789.2,0,0,1,0,0,0,0,0,1,0,0.02496,0,32
PF00001038,DSK00001032,1,0,1,0,0,0,89100000,0,0,1,0,0,0.02076,0,0,0,0,1,2.367102273,88935568.02,0,1,0,0,0,0,0,0,1,0,0.02496,0,34
PF00001039,DSK00001033,1,0,1,0,0,0,159995000,0,0,1,0,0,0.02076,0,0,0,0,1,2.367102273,159134876,0,1,0,0,0,0,0,0,1,0,0.02538,0,96
PF00001040,DSK00001034,1,0,1,0,0,0,176704000,0,1,0,0,0,0.02076,0,0,1,0,0,5.176733182,176006724,0,0,0,1,0,0,0,0,1,0,0.05784,0,34
PF00001042,DSK00001035,0,1,0,1,0,0,8.80E+07,0,0,1,0,0,0.02076,0,0,0,0,1,2.367102273,87847730.6,0,0,1,0,0,0,0,0,1,0,0.02496,0,34
PF00001043,DSK00001036,1,0,1,0,0,0,38819000,0,0,1,0,0,0.02076,0,0,0,0,1,2.367102273,38751830.16,0,1,0,0,0,0,0,0,1,0,0.02496,0,34
PF00001044,DSK00001037,1,0,1,0,0,0,73557000,0,0,1,0,0,0.02076,0,0,0,0,1,2.367102273,73429721.82,0,1,0,0,0,0,0,0,1,0,0.02496,0,34
PF00001046,DSK00001039,1,0,1,0,0,0,68343000,0,0,1,0,0,0.02076,0,0,0,0,1,2.367102273,68224885.67,0,1,0,0,0,0,0,0,1,0,0.02493,0,32
PF00001048,DSK00001041,0,1,0,1,0,0,134200000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,133949960.1,0,0,1,0,0,0,0,0,1,0,0.0252,0,34
PF00001054,DSK00001044,1,0,1,0,0,0,165792000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,165475356,0,1,0,0,0,0,0,0,1,0,0.02505,0,35
PF00001052,DSK00001042,1,0,1,0,0,0,138083000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,137842923.6,0,1,0,0,0,0,0,0,1,0,0.02508,0,34
PF00001055,DSK00001044,0,1,0,1,0,0,41800000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,41720166.72,0,0,1,0,0,0,0,0,1,0,0.02505,0,35
PF00001056,DSK00001045,1,0,1,0,0,0,254232000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,252824504.9,0,1,0,0,0,0,0,0,1,0,0.02586,0,95
PF00001057,DSK00001046,1,0,1,0,0,0,126214000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,125972945.5,0,1,0,0,0,0,0,0,1,0,0.02505,0,35
PF00001058,DSK00001047,1,0,1,0,0,0,45760000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,45672499.1,0,1,0,0,0,0,0,0,1,0,0.02508,0,35
PF00001061,DSK00001051,1,0,1,0,0,0,82962000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,82506039.54,0,1,0,0,0,0,0,0,1,0,0.02595,0,96
PF00001062,DSK00001052,1,0,1,0,0,0,44066000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,43986646.87,0,1,0,0,0,0,0,0,1,0,0.02514,0,33
PF00001063,DSK00001053,0,1,0,1,0,0,88154000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,88001464.13,0,0,1,0,0,0,0,0,1,0,0.02496,75,-41
PF00001064,DSK00001054,1,0,1,0,0,0,88165000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,88002293.54,0,1,0,0,0,0,0,0,1,0,0.02496,0,-9
PF00001065,DSK00001055,1,0,1,0,0,0,88165000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,88006234.31,0,1,0,0,0,0,0,0,1,0,0.02514,0,22
PF00001066,DSK00001056,1,0,1,0,0,0,143143000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,142903269.8,0,1,0,0,0,0,0,0,1,0,0.02499,29,1
